,video_id,channelTitle,course,video_type,episode_title,episode_num,episode_title_len,tag_Count,publishedDate,publishedTime,days_published_for,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,with_Arizona
1170,Q4Zdmd4J7TI,CrashCourse,Big History,regular course,The Modern Revolution,8.0,22,24.0,2014-12-04,21:02:50,3125,1127771.0,14615.0,,930.0,838.0,hd,True,False
1171,J_poRAsCeuY,CrashCourse,outtakes,outtakes,Outtakes #4  Psychology,,23,8.0,2014-12-01,17:04:27,3128,138443.0,2908.0,,181.0,270.0,hd,True,False
1172,1o8oIELbNxE,CrashCourse,World History,regular course,Luther and the Protestant Reformation,218.0,38,15.0,2014-11-29,21:02:45,3130,5212948.0,62381.0,,,907.0,hd,True,False
1173,Oy2XJMczUNc,CrashCourse,Big History,regular course,Migrations and Intensification,7.0,31,14.0,2014-11-27,03:41:46,3132,1217171.0,15337.0,,1049.0,821.0,hd,True,False
1174,XoTx7Rt4dig,CrashCourse,Psychology,regular course,Aggression vs. Altruism,40.0,24,8.0,2014-11-24,22:00:51,3135,1475098.0,25854.0,,1247.0,641.0,hd,True,False
1175,nbuM0aJjVgE,CrashCourse,World History,regular course,The Mughal Empire and Historical Reputation,217.0,44,21.0,2014-11-21,23:52:06,3138,3142927.0,39313.0,,4858.0,704.0,hd,True,False
1176,7P0iP2Zm6a4,CrashCourse,Psychology,regular course,Prejudice and Discrimination,39.0,29,9.0,2014-11-17,23:30:52,3142,2259871.0,31412.0,,2339.0,594.0,hd,True,False
1177,ka8csjsmX6I,CrashCourse,World History,regular course,Islam and Politics,216.0,18,26.0,2014-11-15,01:29:53,3144,3413624.0,53961.0,,,808.0,hd,True,False
1178,UGxGDdQnC1Y,CrashCourse,Psychology,regular course,Social Influence,38.0,17,15.0,2014-11-12,00:46:57,3147,2590013.0,37664.0,,1053.0,608.0,hd,True,False
1179,QAkW_i0bDpQ,CrashCourse,World History,regular course,"Population, Sustainability, and Malthus",215.0,39,22.0,2014-11-08,02:02:19,3151,1748583.0,22192.0,,1806.0,771.0,hd,True,False
1180,UPggkvB9_dc,CrashCourse,Big History,regular course,Human Evolution,6.0,16,24.0,2014-11-06,00:21:39,3153,3225025.0,46232.0,,6952.0,973.0,hd,True,False
1181,h6HLDV0T5Q8,CrashCourse,Psychology,regular course,Social Thinking,37.0,16,10.0,2014-11-03,20:54:42,3156,2659246.0,38479.0,,1181.0,648.0,hd,True,False
1182,GYAk5jCTQ3s,CrashCourse,World History,regular course,The Railroad Journey and the Industrial Revolution,214.0,50,28.0,2014-11-01,21:32:59,3158,1573660.0,16714.0,,1248.0,751.0,hd,True,False
1183,92oHNd8vFwo,CrashCourse,Big History,regular course,The Evolutionary Epic,5.0,22,38.0,2014-10-29,22:51:45,3161,1177857.0,18045.0,,4187.0,905.0,hd,True,False
1184,w2efaHgJ93A,CrashCourse,Psychology,regular course,Biomedical Treatments,36.0,22,7.0,2014-10-27,19:41:07,3163,1077545.0,12746.0,,551.0,669.0,hd,True,False
1185,nxmWfbXS4Pw,CrashCourse,World History,regular course,Asian Responses to Imperialism,213.0,31,17.0,2014-10-24,23:02:30,3166,2371902.0,28051.0,,2644.0,775.0,hd,True,False
1186,6nEL44QkL9w,CrashCourse,Psychology,regular course,Getting Help - Psychotherapy,35.0,29,13.0,2014-10-21,23:09:56,3169,1837504.0,25557.0,,1135.0,682.0,hd,True,False
1187,nosJVTuCHFk,CrashCourse,World History,regular course,The Rise of the West and Historical Methodology,212.0,48,23.0,2014-10-17,22:36:56,3173,1515206.0,17384.0,,2337.0,713.0,hd,True,False
1188,4E1JiDFxFGk,CrashCourse,Psychology,regular course,Personality Disorders,34.0,22,9.0,2014-10-14,21:01:30,3176,4719555.0,80968.0,,3777.0,658.0,hd,True,False
1189,1WS712DHfmg,CrashCourse,Big History,regular course,Life Begins,4.0,12,34.0,2014-10-08,20:59:07,3182,1540693.0,21506.0,,3498.0,809.0,hd,True,False
1190,eMVyZ6Ax-74,CrashCourse,Psychology,regular course,Eating and Body Dysmorphic Disorders,33.0,37,19.0,2014-10-07,03:17:24,3183,3078375.0,65513.0,,2451.0,612.0,hd,True,False
1191,ErOitC7OyHk,CrashCourse,World History,regular course,The End of Civilization (In the Bronze Age),211.0,43,15.0,2014-10-03,21:30:35,3187,2434552.0,29171.0,,2291.0,778.0,hd,True,False
1192,By6CkTN4wkI,CrashCourse,Big History,regular course,The Sun & The Earth,3.0,20,19.0,2014-10-02,18:22:58,3188,1255113.0,17122.0,,1555.0,873.0,hd,True,False
